No,Sku,Total revenue,Avg gross profit margin,First ABC_class,Rank of Revenue
1,FJDJ6B,35492073.64,0.211,A [High Value],1
2,VJK56C,33976485.46,0.392,A [High Value],2
3,6HSD4J,9810307.46,0.349,A [High Value],4
4,7XL27C,8031200.46,0.443,A [High Value],5
5,LHR5LZ,7500259.83,0.364,A [High Value],6
6,HK1R6J,6867538.82,0.32,A [High Value],9
7,Y6HWKQ,6375908.08,0.248,A [High Value],10
8,BJ30D6,6240071.77,0.228,A [High Value],11
9,NLDP86,5796091.93,0.365,A [High Value],12
10,SHZ5Y2,5742946.16,0.32,A [High Value],13
