t,Year,Month,6HSD4J,7XL27C,BJ30D6,FJD6B,HK1R6J,LHR5LZ,NLDP86,SHZ5Y2,VJK56C,Y6HWKQ
1,2021,January,811306.11,838525.4,347356.09,2348781.62,646352.04,305150.83,722358,554025.45,3671059.45,545556.3
2,2021,February,660086.35,881684.8,275772,2471551.61,727240.5,15516.14,626808,24088.06,4494120.37,501244.93
3,2021,March,849879.16,1016606.89,635697.09,2684134.21,1062646.13,1237600.89,523586.86,926207.44,3850330.46,461406.75
4,2021,April,1379693.06,795139.21,788889.92,2490537.76,517585.36,2316880.34,489216,782862.08,4046430.22,400063.65
5,2021,May,759690.8,1341024.08,768967,2113018.49,434681.1,739991.54,458640,387157.23,5037088.77,344054.74
6,2021,June,775342.08,797311.88,781312.74,844300.75,425285.21,453630.51,417857.99,476494.66,3935505.78,261111.44
7,2021,July,583759.24,286732.66,412489.67,1982237.81,326719.46,392230.12,390421.12,514670.46,1216636.62,577682.79
8,2021,August,690223.56,544095.91,513958.19,2547695.08,333355.1,433355.1,355071.16,239808.05,2053149.27,264508.49
9,2021,September,554817,337449.96,351012.19,2536518.17,326196.78,330417.72,253624.41,358825.75,1429606.71,258534.19
10,2021,October,601001.86,260138.51,298097.19,2092492.14,285201.52,339253.66,233434.21,325890.8,9494286.23,698656.72
11,2021,November,1088400.75,376881.15,523386.43,3125658.46,716227.85,427540.67,473691.07,560737.4,1094286.23,861658.95
12,2021,December,966330.85,515484.15,507081.39,2093210.35,922956.96,403871.34,716189.62,544516.91,1932062.79,926184.6
13,2022,January,59184.65,24985.08,13986.17,1950.45,20351.52,0,10822.63,0,91821.63,34295.35
